product_name,nutriscore_grade,nutriscore_score,nova_group,energy-kcal_100g,saturated-fat_100g,sugars_100g,sodium_100g,fruits-vegetables-nuts_100g,fiber_100g,proteins_100g
Boudins blancs à la truffe d'été 1.1%,e,19.0,4.0,268.0,9.5,1.8,0.6,0.0,0.0,8.3
capsules de café Espresso Lungo,b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Succès aux noix Macaron moelleux, Mousse aux noix et amandes",e,21.0,4.0,428.0,8.5,35.0,0.06,0.0,4.7,9.3
Griottes dénoyautées au sirop,b,2.0,3.0,70.0,0.0,15.0,0.0,0.0,0.9,1.0
Lardons de dinde fumés halal,e,26.0,4.0,274.0,6.6,0.7,1.4,0.0,0.0,18.0
Tarte aux poireaux A LA CREME FRAÎCHE,d,15.0,4.0,237.0,8.6,2.8,0.44,23.3,1.8,5.8
Sablés fourrés cœur fondant noix de coco pur beurre,e,26.0,4.0,545.0,23.0,26.0,0.32,0.0,3.0,5.7
Coppa 10 Tranches,e,29.0,4.0,256.0,6.5,0.0,2.0,0.0,0.0,28.0
Gaufres fourrage au miel,e,29.0,4.0,426.0,11.0,40.0,0.296,0.0,2.5,5.3
Pur jus d'orange pet,c,3.0,1.0,33.0,0.0,8.3,0.0,100.0,0.0,0.0
100% Pur Jus Multifruits,c,5.0,1.0,44.0,0.0,10.0,0.0,100.0,0.0,0.0
Gaufres poudrées,e,27.0,4.0,450.0,12.0,34.0,0.312,0.0,1.8,7.6
18 œufs frais de poules élevées en plein air,a,0.0,1.0,141.0,2.7,0.3,0.124,0.0,0.0,12.0
Pancetta au sel sec,e,33.0,4.0,324.0,11.0,0.0,1.56,0.0,0.0,22.0
Sauce tomates Basilic BIO,a,0.0,4.0,68.0,0.5,6.0,0.36,0.0,3.0,1.5
Sauce tomate à la provençale,a,-1.0,3.0,48.0,0.3,4.6,0.28,37.28,2.3,1.4
Tartelettes pur beurre fraise,e,21.0,4.0,404.0,6.6,27.0,0.244,0.0,1.5,4.7
Rosette en tranches,e,34.0,4.0,392.0,12.0,1.0,1.76,0.0,0.0,22.0
Assortiment Réglisses Tendres et Fondants,e,24.0,4.0,341.0,1.0,47.0,0.64,0.0,0.5,3.6
Chocolat au lait aux noisettes Gianduja avec des noisettes entières,e,27.0,4.0,583.0,15.0,42.0,0.052,0.0,4.4,9.2
Poêlée asiatique,b,-2.0,4.0,30.0,0.2,2.3,0.228,95.1,2.1,1.0
LIMONADE BIO au sucre de canne,d,9.0,4.0,33.0,0.0,8.3,0.0,0.0,0.0,0.0
Eau aromatisée saveur citron citron vert,b,0.0,4.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0
Hachis parmentier,c,4.0,4.0,106.0,1.6,1.2,0.268,0.0,1.3,4.8
Eau aromatisée saveur Fraise,c,4.0,4.0,18.0,0.0,4.6,0.012,5.0,0.0,0.0
Madeleines coquilles aux oeufs frais,d,18.0,4.0,414.0,2.3,26.0,0.4,0.0,1.2,5.5
Chorizo fort,e,31.0,4.0,312.0,8.6,1.2,1.64,0.0,0.0,26.0
Eau Aromatisée Saveur Fraise,c,4.0,4.0,18.0,0.0,4.6,0.012,5.0,0.0,0.0
Ratatouille cuisinée,b,2.0,4.0,80.0,0.7,5.0,0.288,0.0,2.1,1.0
Ail,a,-8.0,1.0,77.0,0.0,1.1,0.012,100.0,4.5,4.1
Echalote,a,-4.0,1.0,44.0,0.1,5.2,0.0,100.0,2.6,1.4
Biscottes au blé complet,a,0.0,4.0,390.0,0.7,4.3,0.44,0.0,10.0,13.0
Pommes sautées,b,1.0,4.0,123.0,0.4,0.0,0.092,0.0,1.2,2.7
Yaourt à la Grecque sur Lit au Miel,c,9.0,4.0,134.0,4.3,15.0,0.032,0.0,0.0,2.3
Poêlée de légumes à la basquaise surgelés,a,-3.0,3.0,73.0,0.7,3.8,0.128,0.0,1.9,1.2
Tartelettes chocolat noir,e,23.0,4.0,518.0,15.0,30.0,0.128,4.04,5.0,7.0
Frites microondes,b,1.0,4.0,196.0,0.6,0.0,0.068,0.0,3.0,3.6
Haricots blancs,b,-3.0,3.0,90.0,0.1,0.6,0.18,100.0,5.5,6.2
Haricots blancs,b,-3.0,3.0,90.0,0.1,0.6,0.18,100.0,5.5,6.2
Jambon Serrano grandes tranches sans conservateur,e,23.0,3.0,231.0,4.5,0.0,1.44,0.0,0.0,33.0
Noir dégustation aux éclats de pistaches caramélisées,d,18.0,4.0,553.0,23.0,27.0,0.004,15.0,14.0,6.9
bio 100 % PUR JUS ORANGE,c,4.0,1.0,40.0,0.0,8.7,0.0,100.0,0.0,0.7
"Yaourt aux fruits ananas, abricot, pêche , poire avec morceaux",c,3.0,4.0,89.0,1.8,13.0,0.04,10.5,0.0,3.2
"Yaourt aux fruits abricot, ananas, pêche, fraise, cerise, mûre avec morceaux",b,2.0,4.0,94.0,1.8,13.0,0.04,10.5,0.0,3.3
Noir dégustation Pérou BIO Fairtrade,d,15.0,3.0,600.0,31.0,14.0,0.012,0.0,13.0,11.0
Chorizo extrafort pur porc qualité supérieure,e,34.0,4.0,415.0,16.0,2.8,1.56,0.0,1.8,19.0
Chorizo doux Qualité supérieur,e,36.0,4.0,421.0,14.0,3.9,1.76,0.0,0.0,19.0
Frites spécial four,b,2.0,4.0,145.0,0.4,0.0,0.108,0.0,1.7,2.3
Moussaka Aubergine - Boeuf surgelée,b,2.0,4.0,118.0,1.8,3.8,0.228,51.2,1.8,4.9
Brioche tranchée,d,15.0,4.0,359.0,3.8,14.0,0.48,0.0,1.9,7.7
Spécialité de poires,a,-1.0,4.0,66.0,0.0,15.0,0.0,94.0,3.0,0.0
Pomme et châtaigne,c,7.0,3.0,126.0,0.0,27.0,0.008,76.0,1.8,0.5
Saveur exotique à l'eau de source,d,7.0,4.0,26.0,0.0,6.4,0.012,12.07,0.0,0.0
Cola,e,11.0,4.0,26.0,0.0,6.5,0.0,0.0,0.0,0.0
Confiture de framboise figue,d,16.0,4.0,228.0,0.0,55.0,0.0,53.0,2.6,0.7
Chips coupe épaisse nature avec peau,c,10.0,3.0,511.0,2.6,0.8,0.4,0.0,4.9,6.0
Chips coupe épaisse poivre,d,12.0,4.0,511.0,2.6,0.8,0.52,0.0,4.9,6.0
Duo de haricots verts et haricots beurre coupés,a,-3.0,3.0,23.0,0.0,0.7,0.224,100.0,3.0,1.6
Duo de haricots verts et haricots beurre coupés,a,-3.0,3.0,23.0,0.0,0.7,0.224,100.0,3.0,1.6
Moelleux au chocolat,e,21.0,4.0,458.0,5.3,38.0,0.052,0.0,2.9,6.6
Guacamole purée et morceaux d'avocats.,c,3.0,4.0,192.0,3.5,2.1,0.52,95.0,5.9,1.6
Bâtonnets chocolat au lait,e,31.0,4.0,568.0,24.0,45.0,0.1,0.0,0.0,8.3
Porc aux pruneaux et riz,c,3.0,4.0,126.0,1.3,5.1,0.24,0.0,1.9,6.5
Croquemonsieur à poêler,d,15.0,4.0,276.0,5.6,3.3,0.64,0.0,1.7,10.0
Thoms speciale pindakaas,d,17.0,4.0,291.0,6.2,2.8,0.68,0.0,2.2,11.0
Taurine drink,e,11.0,4.0,38.0,0.0,9.4,0.012,0.0,0.0,0.0
Lentilles Vertes,b,-5.0,3.0,70.0,0.0,0.0,0.36,100.0,4.4,6.3
Haricots blancs,a,-8.0,3.0,94.0,0.0,0.0,0.392,100.0,6.8,7.3
Duo de carottes en rondelles,a,-5.0,1.0,29.0,0.0,4.0,0.032,100.0,3.1,0.8
Infusion Verveine Orange 25 sachets fraîcheur,b,-6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infusion Verveine 25 sachets fraîcheur,b,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infusion Tilleul 25 sachets fraîcheur,b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thé vert saveur jasmin 25 sachets fraîcheur,b,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crackers,d,14.0,4.0,482.0,2.0,5.2,0.56,0.0,2.6,7.2
Penne maïs et riz sans gluten!,b,2.0,4.0,357.0,0.4,0.3,0.008,0.0,1.5,6.6
Spécialité de pêches,a,-1.0,4.0,75.0,0.0,17.0,0.0,88.8,2.2,0.6
Crème glacée vanille BIO,c,9.0,4.0,156.0,4.2,20.0,0.052,0.0,0.0,3.5
Framboise confiture extra,d,18.0,4.0,248.0,0.1,57.0,0.012,0.0,2.7,0.5
Thé Earl Grey thé noir aromatisé bergamote 25 sachets fraîcheur,b,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galettes de maïs au chocolat noir bio,d,16.0,3.0,487.0,13.0,20.0,0.0,0.0,9.3,7.0
Galettes de riz chocolat noir à l'arôme naturel d'orange,e,19.0,4.0,502.0,15.0,21.0,0.0,0.0,6.3,7.2
Crackers au fromage Emmental et graines de courge Bio,d,13.0,3.0,448.0,5.5,0.0,0.72,0.0,11.0,20.0
Tortilla chips goût fromage recette mexicaine,d,12.0,4.0,470.0,2.0,1.5,0.64,0.0,4.0,6.6
Tortilla chips goût chili recette mexicaine,d,12.0,4.0,470.0,2.0,1.5,0.64,0.0,4.0,6.6
Saumon cuit et fumé Sauce fromage frais aneth Pain de mie au pavot,c,6.0,4.0,203.0,2.6,4.2,0.396,0.0,2.3,8.4
Palmiers pur beurre bio,e,23.0,3.0,513.0,16.0,16.0,0.248,0.0,2.0,5.7
Coeurs Artichauts Campagnola,c,8.0,4.0,118.0,1.3,0.0,0.76,67.9,3.3,1.7
Speculoos à la canelle,e,27.0,4.0,484.0,8.6,34.0,0.332,0.0,1.4,5.7
Shortbreads,e,23.0,3.0,533.0,19.0,18.0,0.228,0.0,1.4,4.4
Yaourt aux fruits cerise fraise framboise mûre avec morceaux,c,3.0,4.0,89.0,1.8,13.0,0.04,10.0,0.0,3.2
Yaourt aux fruits pêche - abricot - poire - ananas avec morceaux,c,3.0,4.0,89.0,1.8,13.0,0.04,10.5,0.0,3.2
Yaourts brassés aux fruits sans morceaux,c,4.0,4.0,87.0,2.0,12.0,0.052,6.0,0.0,2.9
Quenelles de volaille au naturel,c,9.0,3.0,168.0,6.7,0.0,0.216,0.0,0.6,4.5
Mousse au chocolat au lait,b,-1.0,4.0,46.0,1.0,4.8,0.036,0.0,0.0,3.2
Purées de fruits,a,0.0,1.0,45.0,0.0,10.0,0.0,99.0,1.6,0.5
Pocket - Spécialité de fruits sans sucres ajoutés gourde pomme,a,-2.0,1.0,47.0,0.0,11.0,0.0,99.0,1.4,0.0
Spécialité de fruits Pomme et de poire SSA,a,-2.0,1.0,48.0,0.0,11.0,0.0,99.0,1.9,0.0
Yaourts aromatisés,b,2.0,4.0,70.0,0.6,12.0,0.052,0.0,0.1,3.4
Fraises Entières,a,-4.0,1.0,34.0,0.0,6.1,0.0,100.0,2.0,0.7
Corned Beef,d,14.0,3.0,221.0,7.0,0.0,0.56,0.0,0.0,21.0
Poulet au curry et riz,c,4.0,4.0,113.0,1.1,2.0,0.3,0.0,1.4,4.4
Ketchup Nature,d,14.0,3.0,102.0,0.0,20.0,0.68,35.3,1.0,1.0
Ketchup Nature,d,14.0,3.0,102.0,0.0,20.0,0.68,35.3,1.0,1.0
Ketchup allégé,d,11.0,4.0,58.0,0.0,8.5,0.76,35.3,1.0,1.0
BISCUITS Pépites de chocolat et graines,e,25.0,3.0,514.0,14.0,30.0,0.26,0.0,4.6,9.2
Aubergines cuisinées à la tomate bio,c,4.0,3.0,136.0,1.2,6.1,0.28,0.0,2.2,1.2
Ravioli vegetariens bio,c,5.0,3.0,76.0,0.1,4.4,0.332,0.0,2.4,2.0
Raviolis au boeuf BIO,c,5.0,3.0,117.0,1.1,3.2,0.368,0.0,1.5,4.1
Boulgour Tomates et Olives vertes,b,1.0,3.0,171.0,0.9,1.2,0.332,0.0,5.7,5.4
"CROZETS de Savoie au sarrasin, aux œufs frais",b,-2.0,1.0,366.0,0.8,2.5,0.1,0.0,3.5,13.0
Coquillettes maïs et riz sans gluten!,b,2.0,4.0,357.0,0.4,0.3,0.008,0.0,1.5,6.6
Dessert Chocolat au Lait Entier,e,28.0,4.0,483.0,12.0,35.0,0.176,0.0,2.7,6.4
Sucre vanilliné arôme artificiel de vanille,e,20.0,4.0,396.0,0.0,99.0,0.0,0.0,0.5,0.0
Le savoureux VELOUTE DE POIREAUX POMMES DE TERRE,b,2.0,4.0,34.0,0.7,1.4,0.224,32.2,1.2,1.0
La délicieuse RECETTE AUX LEGUMES VERTS & COMTE FONDU,c,3.0,4.0,40.0,0.6,0.9,0.252,31.2,1.3,1.5
Biscuits aux céréales et aux pépites de chocolat,c,9.0,4.0,438.0,6.0,0.5,0.224,0.0,5.3,7.8
Cookies aux pépites de chocolat sans sucres,d,15.0,4.0,439.0,8.7,0.5,0.264,0.0,3.3,7.2
Mini Viennois jambon emmental,d,15.0,4.0,248.0,2.6,4.0,0.76,0.0,0.0,12.0
Bloc de foie gras de canard,e,21.0,3.0,491.0,19.0,1.7,0.48,0.0,0.0,6.2
XTIK chocolat au lait,e,24.0,4.0,480.0,12.0,35.0,0.2,0.0,3.2,8.4
Jus de carotte,b,0.0,1.0,26.0,0.0,5.9,0.04,100.0,0.0,0.0
Emmental Français râpé,c,10.0,3.0,369.0,19.0,0.0,0.28,0.0,0.0,27.0
Jus de tomate salé à 3g/L,b,-2.0,3.0,12.0,0.0,2.7,0.12,100.0,0.5,0.0
Marrons entiers au jus,c,3.0,3.0,112.0,0.2,5.1,0.188,100.0,3.4,1.7
Sans croûte,c,8.0,4.0,251.0,0.7,7.5,0.44,0.0,2.4,6.9
CUILLERS DEGUSTATION très moelleux,e,21.0,4.0,360.0,1.2,47.0,0.244,0.0,1.5,8.5
Carottes en rondelles,a,-5.0,1.0,30.0,0.0,4.3,0.024,100.0,3.4,0.8
Oignons émincés,a,-4.0,1.0,39.0,0.0,4.2,0.0,100.0,2.2,1.1
Trio de poivrons en lanières,a,-4.0,1.0,24.0,0.0,3.7,0.0,100.0,2.4,1.0
Chouxfleurs en fleurettes,a,-5.0,1.0,21.0,0.0,1.6,0.0,100.0,2.8,1.9
Oeufs de truite,d,13.0,3.0,173.0,0.8,0.0,0.96,0.0,0.0,27.0
Ratatouille Bio,a,-1.0,3.0,74.0,0.8,4.3,0.26,0.0,1.7,1.1
100% Pur jus Source de vitamines A & C,c,5.0,1.0,39.0,0.0,9.2,0.0,0.0,0.0,0.5
Pur jus 3 Agrumes naturellement source de vitamine C,c,4.0,1.0,40.0,0.0,8.6,0.0,0.0,0.0,0.6
Pur Jus Gourmand,c,5.0,1.0,44.0,0.0,9.4,0.0,0.0,0.6,0.6
Biscotte goût Brioché,d,14.0,4.0,430.0,1.1,11.0,0.52,0.0,3.7,10.0
Kroast Brioché,c,10.0,4.0,422.0,0.9,8.0,0.4,0.0,3.8,9.8
Mini Cornichons,b,2.0,4.0,16.0,0.1,0.0,0.6,100.0,2.1,1.2
Boisson au riz amande,e,13.0,3.0,69.0,0.2,8.7,0.048,1.2,0.7,0.5
Caramel beurre salé,e,24.0,4.0,326.0,12.0,32.0,0.128,0.0,0.9,2.5
Cornichons fins,c,5.0,4.0,13.0,0.0,0.8,0.64,100.0,2.1,1.2
Oreillons de pêches au sirop léger,b,1.0,3.0,58.0,0.0,13.0,0.012,100.0,1.2,0.0
Sauce au poivre,e,21.0,4.0,444.0,3.7,4.5,1.0,43.0,1.0,1.2
Sauce béarnaise,d,16.0,4.0,356.0,3.0,3.3,0.88,0.0,0.0,0.7
Sauce Kebab,d,13.0,4.0,277.0,2.3,5.3,0.6,24.0,0.0,1.0
Muffins aux pépites de chocolat cœur au goût choco noisette,e,21.0,4.0,449.0,4.0,33.0,0.4,19.0,0.0,5.9
Muffins cacaotés aux pépites de chocolat cœur au goût choco noisette,e,23.0,4.0,433.0,4.4,34.0,0.44,1.6,0.0,6.1
Lait de Montagne demi-écrémé stérilisé UHT,b,-1.0,1.0,46.0,1.0,4.8,0.052,0.0,0.0,3.3
Lait de Montagne demi-écrémé stérilisé UHT,b,-1.0,1.0,46.0,1.0,4.8,0.052,0.0,0.0,3.3
Carottes râpées assaisonnées,a,-2.0,4.0,53.0,0.2,5.0,0.2,89.0,3.0,1.0
Taboulé oriental,c,6.0,3.0,174.0,0.7,3.5,0.36,33.7,2.0,4.0
Boisson Riz Noisette Sans sucres ajoutés,e,13.0,3.0,73.0,0.3,7.7,0.04,0.0,0.8,0.8
Pâte feuilletée au beurre,d,18.0,3.0,379.0,14.0,1.6,0.364,0.0,1.2,6.1
Pâte brisée prête à dérouler,d,18.0,3.0,392.0,11.0,2.9,0.36,0.0,1.5,5.8
Crevette Nordique décortiquée cuite MSC,a,0.0,3.0,59.0,0.3,0.0,0.48,0.0,0.0,13.0
Filets de maquereaux grillés aux 3 poivres,b,2.0,4.0,215.0,3.3,0.0,0.372,0.0,0.0,20.0
Jambon Supérieur Découenné Dégraissé,c,3.0,4.0,106.0,1.0,0.5,0.76,0.0,0.0,20.0
Jambon Supérieur Découenné Dégraissé,c,3.0,4.0,106.0,1.0,0.5,0.76,0.0,0.0,20.0
Filets de maquereaux marinés au citron et à l'olive,c,4.0,4.0,198.0,3.3,1.0,0.4,0.0,0.0,14.0
Pois Cassés de France,a,-15.0,1.0,334.0,0.3,2.6,0.012,100.0,11.0,21.0
Ma pizza facile contient pâte à pizza rectangulaire + sauce tomate,c,7.0,4.0,213.0,0.6,1.5,0.52,33.0,2.3,4.6
Grana Padano AOP râpé,d,14.0,3.0,398.0,18.0,0.0,0.6,0.0,0.0,33.0
Gressins aux graines de sésame,d,13.0,3.0,486.0,3.9,1.9,0.52,8.0,3.7,14.0
Mini crackers Emmental et graines de courge.,d,15.0,3.0,451.0,5.9,3.6,0.8,0.0,9.7,17.0
Terrine de Campagne Label Rouge au Piment d'Espelette,e,20.0,4.0,302.0,9.8,0.9,0.72,0.0,0.0,16.0
"Fruits rouges Myrtilles, mûres, cassis, framboises",a,-2.0,1.0,45.0,0.0,6.4,0.0,100.0,3.8,0.9
Purée de fruits pommes fraises sans sucres ajoutés,a,-3.0,1.0,41.0,0.0,9.5,0.0,99.0,1.4,0.0
100% Pur Jus Multifruits,c,5.0,1.0,44.0,0.0,10.0,0.0,100.0,0.0,0.0
Crème dessert chocolat au lait de brebis,c,7.0,3.0,162.0,4.7,13.0,0.044,0.0,1.6,5.7
Biscuits matin céréales et pépites de chocolat,d,15.0,4.0,456.0,4.0,30.0,0.272,0.0,6.5,8.5
Les Galettes Pur Beurre Citron et pépites au citron vert,e,27.0,4.0,473.0,12.0,30.0,0.356,0.0,0.0,5.6
APÉRO MIX,d,15.0,4.0,499.0,3.0,3.1,0.68,0.0,3.5,7.5
Cacahuètes enrobées goût salé,e,20.0,4.0,486.0,3.2,8.5,1.08,46.0,6.6,17.0
Purée Pommes sans sucres ajoutés,a,-2.0,1.0,51.0,0.0,11.0,0.0,99.98,1.6,0.0
POMME FRUITS ROUGES sans sucres ajoutés,a,-3.0,1.0,50.0,0.0,10.0,0.0,0.0,1.9,0.5
Briochettes moelleuses pépites choco,d,13.0,4.0,342.0,3.5,15.0,0.316,0.0,3.2,8.9
Chocolat glace cône,e,19.0,4.0,275.0,8.5,27.0,0.092,0.4,2.5,3.7
Thé noir citron 25 sachets fraîcheur,b,0.0,4.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
Sauce Fajitas à base de tomates et légumes,d,11.0,4.0,42.0,0.1,4.5,1.0,67.09,1.2,1.0
Expresso 36 dosettes souples,b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boisson aux fruits saveur tropical,c,6.0,4.0,22.0,0.0,5.5,0.02,12.0,0.0,0.0
Boisson aux fruits Multifruits Multivitaminée,d,8.0,4.0,35.0,0.0,7.9,0.008,0.0,0.0,0.0
Crok' & Noisette,e,22.0,4.0,506.0,4.3,41.0,0.22,13.0,3.2,7.4
Jus d'Orange sans pulpe,c,4.0,1.0,40.0,0.0,8.7,0.008,0.0,0.0,0.7
Jus d'Orange avec pue,c,4.0,1.0,40.0,0.0,8.7,0.008,0.0,0.0,0.7
Thon albacore en tranches au naturel,a,-1.0,1.0,114.0,0.4,0.0,0.48,0.0,0.0,25.0
Yaourts au lait entier Vanille,c,4.0,4.0,89.0,1.9,13.0,0.048,0.0,0.0,3.0
Lasagnettes Saumon et Colin d'Alaska Sauce au citron surgelées,c,3.0,4.0,129.0,3.0,1.9,0.204,25.99,1.7,6.0
Fromage de chèvre Sainte-Maure - Format familial,d,13.0,3.0,288.0,17.0,0.0,0.6,0.0,0.0,18.0
Pâté de campagne breton label rouge IGP,d,18.0,3.0,304.0,10.0,1.3,0.52,0.0,0.0,15.0
Lait Raisins & Noisettes,e,32.0,4.0,509.0,16.0,49.0,0.224,1.28,1.8,8.4
Yaourt brassé sur lit à la myrtille,c,5.0,4.0,94.0,2.1,13.0,0.044,0.0,0.0,3.1
La savoureuse SOUPE DE TOMATES AUX VERMICELLES,a,0.0,4.0,37.0,0.8,3.1,0.188,66.8,1.0,0.9
La délicieuse recette aux cèpes & bolets à la crème fraiche,c,4.0,4.0,32.0,0.9,1.0,0.324,0.0,0.0,0.9
mini chorizos,e,36.0,4.0,525.0,17.0,1.6,1.92,0.0,0.0,27.0
Yaourts au lait entier 4 saveur Citron,c,4.0,4.0,89.0,1.9,13.0,0.048,0.0,0.0,3.0
Feuilleté glacé caramel au beurre salé et vanille,d,18.0,4.0,255.0,10.0,23.0,0.052,0.0,0.0,2.0
Les petits fours pâtissiers aux 3 chocolats,e,27.0,4.0,503.0,14.0,37.0,0.184,0.0,3.4,6.7
Les petits fours pâtissiers aux 3 chocolats,e,29.0,4.0,494.0,12.0,40.0,0.196,0.0,2.6,6.4
Les petits fours pâtissiers aux 3 chocolats,e,29.0,4.0,494.0,12.0,40.0,0.196,0.0,2.6,6.4
Grande pizza royale cuite sur pierre,c,4.0,4.0,232.0,2.6,2.0,0.376,0.0,2.0,10.0
Nectar Abricot -Teneur en fruits : 43% minimum,e,12.0,3.0,56.0,0.0,13.0,0.0,43.0,0.0,0.0
Oignons en cubes,a,-4.0,1.0,39.0,0.0,4.2,0.0,100.0,2.2,1.1
Emmental français,c,9.0,3.0,369.0,21.0,0.0,0.24,0.0,0.0,27.0
Langoustines entières crues surgelées,a,-2.0,3.0,79.0,0.0,0.0,0.36,0.0,1.7,19.0
Queues de langoustes blanches (Panulirus argus) crues congelées,a,-2.0,3.0,81.0,0.3,0.0,0.336,0.0,0.0,19.0
Yaourt à la grecque coco,c,8.0,4.0,130.0,5.5,12.0,0.024,0.0,0.0,2.6
Purée de carottes,a,-5.0,3.0,31.0,0.0,5.0,0.044,100.0,3.5,0.9
Sauce Guacaomle,c,9.0,4.0,124.0,2.8,3.5,0.44,0.0,0.8,0.8
Cheddar - 10 tranches,d,16.0,4.0,410.0,20.0,0.0,0.72,0.0,0.0,23.0
Velouté 8 légumes BIO,c,3.0,4.0,45.0,0.7,1.3,0.26,0.0,0.8,0.8
"Velouté de potiron, carottes et miel Bio",b,1.0,4.0,31.0,0.5,2.1,0.224,0.0,0.9,0.6
Terrine de canard à l' Armagnac,d,14.0,4.0,198.0,5.3,0.0,0.6,0.0,0.0,16.0
Terrine de campagne Pur Porc,e,20.0,3.0,313.0,11.0,0.0,0.64,0.0,0.0,15.0
Terrine de chevreuil au calvados,d,17.0,4.0,261.0,8.2,0.0,0.52,0.0,0.0,17.0
Terrine de lièvre au romarin,d,17.0,4.0,286.0,8.6,0.0,0.52,0.0,0.5,18.0
Terrine au foie de canard recette du sudouest,d,18.0,4.0,272.0,9.1,0.7,0.52,0.0,0.0,14.0
Rillettes traditionnelles pur canard,d,16.0,3.0,318.0,8.7,0.0,0.48,0.0,0.0,21.0
Cheddar râpé,d,15.0,4.0,400.0,20.0,0.0,0.72,0.0,0.0,22.0
2 Tartes poireaux,d,12.0,4.0,214.0,8.0,1.8,0.276,0.0,2.9,7.9
Hachis parmentier,c,4.0,4.0,106.0,1.6,1.2,0.268,0.0,1.3,4.8
Gratin d'endives Au Jambon,c,6.0,4.0,102.0,3.5,5.0,0.288,36.25,1.4,5.2
Quinoa,a,-7.0,1.0,391.0,0.7,3.3,0.0,0.0,5.9,14.0
100% Pur jus de Pomme,c,6.0,1.0,44.0,0.0,11.0,0.0,100.0,0.0,0.0
100% Pur Jus Fruits du Verger,c,5.0,1.0,40.0,0.0,9.9,0.0,100.0,0.0,0.0
Mimolette hollandaise,d,15.0,4.0,316.0,17.0,0.0,0.8,0.0,0.0,25.0
MAASDAM 8 tranches environ,d,12.0,3.0,347.0,19.0,0.0,0.48,0.0,0.0,25.0
Gouda - 8 tranches environ,d,18.0,3.0,353.0,20.0,0.0,0.96,0.0,0.0,23.0
Dés de Mimolette et Gouda Salade & Apéritif,d,16.0,4.0,341.0,18.0,0.5,0.76,0.0,0.0,24.0
Dés de gouda au cumin Apéritif & Salade,d,15.0,4.0,360.0,20.0,0.5,0.72,0.0,0.0,23.0
Dés d'emmental français Apéritif & Salade,d,11.0,3.0,380.0,21.0,0.5,0.328,0.0,0.0,27.0
Crème fluide entière 30% de mat. gr. issue de l'agiculture biologique,d,17.0,4.0,294.0,20.0,3.5,0.032,0.0,0.0,2.4
8 Beignets de crevettes avec sauce aigredouce,c,7.0,4.0,238.0,0.8,1.2,0.6,0.0,0.8,6.7
Beurre moule bio doux,e,20.0,2.0,743.0,57.0,0.5,0.012,0.0,0.0,0.7
Beurre moule bio demisel,e,29.0,2.0,725.0,55.0,0.5,0.8,0.0,0.0,0.7
Bloc de foie gras de canard du SudOuest avec morceaux,e,22.0,3.0,526.0,23.0,1.1,0.52,0.0,0.0,6.0
Riz au lait à la vanille Au lait entier,c,4.0,4.0,121.0,1.9,13.0,0.056,0.0,0.0,2.6
"Mélange de légumes verts Brocolis, petits pois, pois croquants",a,-4.0,3.0,45.0,0.2,1.7,0.044,0.0,3.5,3.2
capsules de café Espresso Corsé,b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capsules de café Espresso arabica,b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fromage blanc au lait de Brebis,b,1.0,3.0,90.0,3.2,3.0,0.048,0.0,0.0,7.4
10 Capsules Brésil Fairtrade,b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Boisson à base d'eau de source, aux jus de fruits à base de concentrés",c,4.0,4.0,19.0,0.0,4.7,0.012,5.0,0.0,0.0
RIZ AU LAIT rhum raisins au lait entier,c,5.0,4.0,121.0,1.6,15.0,0.044,0.0,0.5,2.6
Tarte aux framboises,d,13.0,4.0,251.0,4.6,24.0,0.108,0.0,2.8,2.8
Tarte tatin,d,11.0,4.0,220.0,5.9,21.0,0.064,0.0,0.0,1.8
Tarte citron meringuée,e,20.0,4.0,336.0,7.8,33.0,0.044,0.0,0.0,4.8
Chair de tomate nature,a,-3.0,1.0,34.0,0.0,4.8,0.16,99.7,1.9,1.2
Chair de tomates basilic,a,-2.0,3.0,47.0,0.2,4.2,0.2,99.54,2.6,1.3
Coupelles Fruits du Soleil au sirop léger,b,2.0,3.0,62.0,0.0,14.0,0.0,57.5,0.9,0.0
Le croustillant au chocolat aux noisettes et amandes,e,22.0,4.0,410.0,7.3,36.0,0.092,0.0,3.2,7.7
Galettes épeautre fines bio,a,-3.0,3.0,373.0,0.2,0.9,0.068,0.0,4.4,13.0
Yaourt au lait de brebis à la vanille,c,5.0,4.0,112.0,4.2,8.4,0.044,0.0,0.0,5.0
8 crêpes moelleuses au sucre de canne et au lait entier,c,4.0,3.0,262.0,2.7,8.5,0.056,0.0,2.0,7.3
Rillettes pur porc,e,21.0,3.0,408.0,16.0,0.0,0.52,0.0,0.0,16.0
