product_name,nutriscore_grade,nutriscore_score,nova_group,energy-kcal_100g,saturated-fat_100g,sugars_100g,sodium_100g,fruits-vegetables-nuts_100g,fiber_100g,proteins_100g
Tahin 100% Sésame Demi-Complet Bio,d,11.0,1.0,623.0,9.9,0.4,0.016,0.0,13.0,23.0
Baies de Goji,d,12.0,1.0,348.0,0.8,50.1,0.4,100.0,11.2,12.2
P'tite pomme 100% françaises,a,-2.0,1.0,53.0,0.0,11.0,0.004,100.0,2.0,0.0
Topping de graines aux légumes,c,8.0,3.0,530.0,3.9,2.5,0.36,34.0,10.5,17.5
Chickenburger,d,11.0,4.0,260.0,1.4,8.0,0.48,4.0,1.5,9.3
"Boeuf Stroganoff, purée de carotte et de pommes de terre",b,0.0,4.0,129.55,1.77,2.87,0.372,0.0,0.91,9.73
"Coeur de romaine, chèvre et noisettes",d,14.0,3.0,312.0,8.4,2.7,0.272,57.0,1.4,8.9
Courge rôtie et feta,b,1.0,3.0,136.5,2.9,4.2,0.256,75.6,2.0,2.8
"Crème de feta, carottes rôties",b,2.0,3.0,119.0,2.0,2.3,0.188,75.0,1.9,1.9
Salade betterave et feta,a,0.0,3.0,91.6,2.3,6.8,0.2,82.0,2.1,3.9
"Salade betterave, chèvre, noix",c,4.0,3.0,151.5,3.7,4.8,0.264,60.0,2.1,5.6
"Salade de lentille, feta, potiron, carotte",a,-6.0,3.0,99.3,0.6,4.5,0.072,92.2,4.0,5.4
Salade de lentilles et oignons,b,-5.0,3.0,106.0,0.4,4.8,0.1,93.0,4.3,4.7
Salade de maïs crémeuse,c,5.0,4.0,132.8,1.9,4.4,0.252,73.0,2.6,3.2
"Salade de quinoa, haricot rouge, houmous, feta et noisette",c,6.0,3.0,166.5,2.2,1.3,0.36,3.4,2.8,4.8
"Salade edamame, carottes et feta",a,-2.0,4.0,169.5,2.7,2.6,0.216,34.0,4.0,5.2
"Salade quinoa, épinard, patate douce",c,5.0,3.0,181.6,2.5,1.8,0.292,12.0,3.1,4.4
"Carottes râpées, graines de courge",a,-1.0,3.0,155.4,2.9,2.0,0.168,90.9,2.9,3.5
"Boeuf à l'orange, polenta et carottes",c,3.0,4.0,142.71,3.1,4.83,0.328,21.0,1.15,14.73
"Jambon braisé, lentilles",b,2.0,4.0,144.94,0.74,1.28,0.564,51.0,5.1,12.31
Confitura Frutos Silvestres,d,17.0,4.0,236.0,0.2,55.4,0.008,50.0,2.5,0.7
Confiture 4 fruits,d,17.0,4.0,243.0,0.1,56.1,0.012,50.0,1.5,0.4
Blackcurrant fruit spread,d,17.0,4.0,225.0,0.5,53.5,0.02,40.0,2.5,0.5
Apfelsaft aus Apfelsaftkonzentrat,c,5.0,1.0,44.0,0.04,9.8,0.0032,100.0,0.12,0.12
Solevita Orangensaft,d,7.0,4.0,26.0,0.0,6.1,0.04,20.0,0.1,0.1
